,Latitude,Confirmed,Deaths,Recovered,Active,Population,Death Rate,Incidence Rate,Avg Temperature (C),Avg Max Heat Index (C),Median Household Income ($),Poverty Rate,Median AQI
"Bergen, NJ",40.96010917,16929.0,1355.0,0.0,15574.0,936692,0.0741085101728287,0.017752335571469168,11.61,31.66,100181.0,0.24,46
"Broward, FL",26.15184651,5858.0,257.0,0.0,5601.0,1951260,0.042027800490596894,0.0029931767016602986,24.445,34.45,57200.0,0.13,42
"Cook, IL",41.84144849,52655.0,2317.0,0.0,50338.0,5180493,0.04214873026267918,0.010061821297620475,10.03,33.03,63347.0,13.79,54
"Dallas, TX",32.76670599,5870.0,143.0,0.0,5727.0,2637772,0.023781806086811907,0.0022204216758547487,20.165,36.44,59838.0,51.15,45
"Essex, MA",42.6687626,11353.0,644.0,0.0,10709.0,790638,0.05368008668833875,0.014156019207198086,9.79,30.82,76373.0,4.75,40
"Essex, NJ",40.78681335,15646.0,1423.0,0.0,14223.0,799767,0.08336750834846798,0.019187822612590184,11.835,31.59,62875.0,0.77,41
"Fairfax, VA",38.83677558,5892.0,239.0,0.0,5653.0,1150795,0.03898222149730876,0.00509385858058403,13.53,32.46,122035.0,6.35,41
"Fairfield, CT",41.26809896,13236.0,1024.0,0.0,12212.0,943823,0.07180925666199159,0.013829868378020582,10.945,31.51,91183.0,0.1,43
"Harris, TX",29.86,7878.0,172.0,0.0,7706.0,4698619,0.021366459627329193,0.0016738563734344247,21.16,35.93,60241.0,13.41,51
"Hartford, CT",41.80283011,7263.0,909.0,0.0,6354.0,892697,0.11123348017621146,0.008070358682608116,10.515,31.6,73037.0,0.11,41
"Hudson, NJ",40.73766234,17513.0,969.0,0.0,16544.0,676061,0.05242939075857591,0.02525036982355163,12.18,31.55,73337.0,0.33,42
"King, WA",47.49137892,7007.0,500.0,0.0,6507.0,2233163,0.0666045024643666,0.003127887615672025,7.905,29.97,94822.0,6.39,39
"Lake, IL",42.3224907,5245.0,173.0,0.0,5072.0,700832,0.031930601698043556,0.007428368294109566,9.43,32.59,87336.0,1.08,41
"Los Angeles, CA",34.30828379,31703.0,1531.0,0.0,30172.0,10105518,0.046067280495877716,0.0031273857006767435,16.73,30.51,67986.0,0.14,58
"Macomb, MI",42.69158356,6042.0,698.0,0.0,5344.0,874759,0.10356083086053412,0.006859665236529023,9.33,31.86,62191.0,8.87,39
"Maricopa, AZ",33.34835867,5827.0,247.0,0.0,5580.0,4410824,0.04066513006256174,0.001319325434588334,22.33,33.86,65234.0,0.12,62
"Marion, IN",39.78163624,7336.0,416.0,0.0,6920.0,954670,0.053663570691434466,0.007625732064041181,11.955,33.14,48409.0,1.24,51
"Mercer, NJ",40.28047017,5317.0,334.0,0.0,4983.0,369811,0.05910458325960007,0.014173828666481841,11.77,32.11,79979.0,0.31,42
"Middlesex, MA",42.48607732,17589.0,1207.0,0.0,16382.0,1614714,0.06421579059374335,0.010775572917528179,9.82,31.24,100374.0,0.7,40
"Middlesex, NJ",40.43629879,13937.0,793.0,0.0,13144.0,829685,0.0538357094365241,0.016520432136667845,11.82,32.01,87666.0,0.18,41
"Monmouth, NJ",40.26549699,6894.0,443.0,0.0,6451.0,621354,0.06037890145836173,0.010973373572219888,11.945,31.52,99223.0,0.05,38
"Montgomery, MD",39.13676329,6762.0,382.0,0.0,6380.0,1052567,0.05347144456886898,0.006383286023511109,13.05,32.12,107758.0,3.73,40
"Montgomery, PA",40.21053671,5260.0,525.0,0.0,4735.0,828604,0.09075194468452895,0.006307983076376963,11.875,31.84,90155.0,0.28,35
"Morris, NJ",40.86095313,5854.0,516.0,0.0,5338.0,494228,0.08100470957613815,0.011706080202846733,10.825,31.45,112396.0,0.04,39
"Nassau, NY",40.74066522,38217.0,1963.0,0.0,36254.0,1358343,0.04885515181682429,0.027365097095720915,11.905,31.24,115301.0,1.57,21
"New Haven, CT",41.408032500000004,9209.0,701.0,0.0,8508.0,857620,0.07073662966700303,0.010623779315182118,10.78,31.39,67720.0,0.11,41
"Norfolk, MA",42.16073095,6952.0,650.0,0.0,6302.0,705388,0.08550381478558274,0.009759384563551113,10.095,31.3,100184.0,3.97,37
"Oakland, MI",42.66090111,7736.0,843.0,0.0,6893.0,1259201,0.09826320083925866,0.006106065258177794,8.89,31.58,80319.0,2.09,39
"Ocean, NJ",39.8895449,7462.0,540.0,0.0,6922.0,601651,0.06748312921769557,0.012250600463296629,12.455,31.86,68483.0,0.12,40
"Orange, NY",41.40337468,9543.0,367.0,0.0,9176.0,381951,0.03703329969727548,0.024375852503486645,10.315,31.45,75048.0,0.39,38
"Passaic, NJ",41.03238628,14543.0,744.0,0.0,13799.0,503310,0.048668803558579186,0.02808325914883181,10.68,31.4,71959.0,0.11,40
"Plymouth, MA",41.94070556,6382.0,393.0,0.0,5989.0,518132,0.05800738007380074,0.012167454062236661,10.275,31.26,89678.0,0.04,39
"Prince George's, MD",38.83070039,9496.0,353.0,0.0,9143.0,909308,0.03584120215250279,0.010335174857749858,13.625,32.41,82445.0,0.07,44
"Providence, RI",41.87064746,7138.0,0.0,0.0,7138.0,636084,0.0,0.011097257245554413,10.215,31.31,56141.0,1.19,43
"Rockland, NY",41.15027894,12451.0,562.0,0.0,11889.0,325695,0.04318758164912011,0.036821373016389373,11.225,31.75,88960.0,0.09,38
"Suffolk, MA",42.327951399999996,15279.0,718.0,0.0,14561.0,807252,0.04488341564043258,0.018575591679827266,10.235,31.53,68743.0,0.26,39
"Suffolk, NY",40.88320119,36702.0,1617.0,0.0,35085.0,1481093,0.04219838722304862,0.024181131180429506,11.6,31.04,100075.0,1.1,43
"Union, NJ",40.65835409,14057.0,867.0,0.0,13190.0,558067,0.05809434467971053,0.024569848494382335,11.795,31.68,80737.0,0.31,43
"Wayne, MI",42.28098405,18075.0,2097.0,0.0,15978.0,1753893,0.10395597858417609,0.010200522808538302,9.82,32.03,46440.0,1.02,52
"Westchester, NY",41.16278376,31294.0,1218.0,0.0,30076.0,967612,0.037463090551181105,0.0313282731308051,10.89,31.51,94521.0,0.87,38
"Worcester, MA",42.35026951,7743.0,444.0,0.0,7299.0,830839,0.054232319530963725,0.009233444075832774,9.235,30.85,71767.0,0.09,43
